,Coord_1_Casa,Coord_1_Lavoro,Coord_2_Casa,Coord_2_Lavoro,Giorni_al_1Lav,Giorni_al_2Lav,Id_Term,Km_Percorsi,N_Case,N_Giorni_Pres,N_Lavori,N_Soste_Univ,Notti_1Casa,Notti_2Casa,Notti_In,Notti_Out,Trans_Confine,Veh_Type
0,"[9.7827359999999999, 46.151705999999997]","[-1, -1]","[9.9247060000000005, 46.162813]","[-1, -1]",0,0,2401478,11284.346599999868,2,45,0,0,43,2,46,0,52,2
1,"[9.881062, 46.164571000000002]","[-1, -1]","[9.8045810000000007, 46.162315999999997]","[-1, -1]",0,0,2401479,8562.08859999956,2,52,0,1,45,6,51,0,67,2
2,"[9.7828689999999998, 46.151749000000002]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401480,19851.49959999981,1,51,0,0,49,0,46,4,48,2
3,"[9.7828189999999999, 46.151985000000003]","[-1, -1]","[9.881081, 46.16451]","[-1, -1]",0,0,2401481,9182.043099999764,2,44,0,1,19,15,42,1,26,2
4,"[9.7845230000000001, 46.161568000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401482,22489.498099999564,1,43,0,1,38,0,38,5,218,2
5,"[9.8810330000000004, 46.164493999999998]","[-1, -1]","[9.9419129999999996, 46.176495000000003]","[-1, -1]",0,0,2401484,20579.225999999846,2,42,0,1,40,2,43,0,0,2
6,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401488,212107.17069999943,0,15,0,1,0,0,0,14,2,2
7,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401498,11497.886400000007,0,4,0,1,0,0,1,2,0,2
8,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401502,51461.026500000014,0,3,0,1,0,0,1,1,2,2
9,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401506,32507.890799999994,0,3,0,1,0,0,2,0,0,2
10,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401534,454855.3292999981,0,14,0,1,0,0,0,13,6,2
11,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401540,320981.2210999995,0,28,0,1,0,0,0,27,3,2
12,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401543,519447.08520000003,0,2,0,1,0,0,0,1,2,2
13,"[10.474017, 45.29768]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401561,16337.67839999988,1,59,0,1,50,0,52,2,3,2
14,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401570,393884.85389999993,0,2,0,1,0,0,0,1,1,2
15,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401576,201562.97960000014,0,22,0,1,0,0,0,21,7,2
16,"[10.108955, 45.535663999999997]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2401582,501615.9040000007,1,7,0,1,3,0,3,1,0,2
17,"[10.028956000000001, 45.103228999999999]","[-1, -1]","[10.061938, 45.121563000000002]","[-1, -1]",0,0,2401587,563062.7588999989,2,25,0,1,3,4,10,14,10,2
